2017-04-18 05:14:37,375 [MainThread:140694508766976] [django.db.backends.schema:110] [schema:execute] [DEBUG]- CREATE TABLE `blog_user` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `password` varchar(128) NOT NULL, `last_login` datetime(6) NULL, `is_superuser` bool NOT NULL, `username` varchar(150) NOT NULL UNIQUE, `first_name` varchar(30) NOT NULL, `last_name` varchar(30) NOT NULL, `email` varchar(254) NOT NULL, `is_staff` bool NOT NULL, `is_active` bool NOT NULL, `date_joined` datetime(6) NOT NULL, `avatar` varchar(200) NULL, `qq` varchar(20) NULL, `moblile` varchar(11) NULL UNIQUE, `url` varchar(100) NULL); (params None)
2017-04-18 05:14:37,710 [MainThread:140694508766976] [django.db.backends:91] [utils:execute] [DEBUG]- (0.334) CREATE TABLE `blog_user` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `password` varchar(128) NOT NULL, `last_login` datetime(6) NULL, `is_superuser` bool NOT NULL, `username` varchar(150) NOT NULL UNIQUE, `first_name` varchar(30) NOT NULL, `last_name` varchar(30) NOT NULL, `email` varchar(254) NOT NULL, `is_staff` bool NOT NULL, `is_active` bool NOT NULL, `date_joined` datetime(6) NOT NULL, `avatar` varchar(200) NULL, `qq` varchar(20) NULL, `moblile` varchar(11) NULL UNIQUE, `url` varchar(100) NULL); args=None
2017-04-18 05:14:37,711 [MainThread:140694508766976] [django.db.backends:91] [utils:execute] [DEBUG]- (0.001) SELECT engine FROM information_schema.tables WHERE table_name = 'blog_user'; args=[u'blog_user']
2017-04-18 05:14:37,712 [MainThread:140694508766976] [django.db.backends:91] [utils:execute] [DEBUG]- (0.001) SELECT engine FROM information_schema.tables WHERE table_name = 'blog_user'; args=[u'blog_user']
2017-04-18 05:14:37,712 [MainThread:140694508766976] [django.db.backends:91] [utils:execute] [DEBUG]- (0.000) SELECT engine FROM information_schema.tables WHERE table_name = 'blog_user'; args=[u'blog_user']
2017-04-18 05:14:37,713 [MainThread:140694508766976] [django.db.backends:91] [utils:execute] [DEBUG]- (0.001) SELECT engine FROM information_schema.tables WHERE table_name = 'blog_user'; args=[u'blog_user']
2017-04-18 05:14:37,714 [MainThread:140694508766976] [django.db.backends:91] [utils:execute] [DEBUG]- (0.001) SELECT engine FROM information_schema.tables WHERE table_name = 'blog_user'; args=[u'blog_user']
2017-04-18 05:14:37,715 [MainThread:140694508766976] [django.db.backends:91] [utils:execute] [DEBUG]- (0.001) SELECT engine FROM information_schema.tables WHERE table_name = 'blog_user'; args=[u'blog_user']
2017-04-18 05:14:37,716 [MainThread:140694508766976] [django.db.backends:91] [utils:execute] [DEBUG]- (0.000) SELECT engine FROM information_schema.tables WHERE table_name = 'blog_user'; args=[u'blog_user']
2017-04-18 05:14:37,717 [MainThread:140694508766976] [django.db.backends:91] [utils:execute] [DEBUG]- (0.000) SELECT engine FROM information_schema.tables WHERE table_name = 'blog_user'; args=[u'blog_user']
2017-04-18 05:14:37,717 [MainThread:140694508766976] [django.db.backends:91] [utils:execute] [DEBUG]- (0.001) SELECT engine FROM information_schema.tables WHERE table_name = 'blog_user'; args=[u'blog_user']
2017-04-18 05:14:37,718 [MainThread:140694508766976] [django.db.backends:91] [utils:execute] [DEBUG]- (0.001) SELECT engine FROM information_schema.tables WHERE table_name = 'blog_user'; args=[u'blog_user']
2017-04-18 05:14:37,719 [MainThread:140694508766976] [django.db.backends:91] [utils:execute] [DEBUG]- (0.001) SELECT engine FROM information_schema.tables WHERE table_name = 'blog_user'; args=[u'blog_user']
2017-04-18 05:14:37,720 [MainThread:140694508766976] [django.db.backends:91] [utils:execute] [DEBUG]- (0.000) SELECT engine FROM information_schema.tables WHERE table_name = 'blog_user'; args=[u'blog_user']
2017-04-18 05:14:37,720 [MainThread:140694508766976] [django.db.backends:91] [utils:execute] [DEBUG]- (0.000) SELECT engine FROM information_schema.tables WHERE table_name = 'blog_user'; args=[u'blog_user']
2017-04-18 05:14:37,721 [MainThread:140694508766976] [django.db.backends:91] [utils:execute] [DEBUG]- (0.000) SELECT engine FROM information_schema.tables WHERE table_name = 'blog_user'; args=[u'blog_user']
2017-04-18 05:14:37,721 [MainThread:140694508766976] [django.db.backends:91] [utils:execute] [DEBUG]- (0.000) SELECT engine FROM information_schema.tables WHERE table_name = 'blog_user'; args=[u'blog_user']
2017-04-18 05:14:37,722 [MainThread:140694508766976] [django.db.backends.schema:110] [schema:execute] [DEBUG]- CREATE TABLE `blog_user_groups` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `user_id` integer NOT NULL, `group_id` integer NOT NULL); (params None)
2017-04-18 05:14:37,955 [MainThread:140694508766976] [django.db.backends:91] [utils:execute] [DEBUG]- (0.233) CREATE TABLE `blog_user_groups` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `user_id` integer NOT NULL, `group_id` integer NOT NULL); args=None
2017-04-18 05:14:37,957 [MainThread:140694508766976] [django.db.backends:91] [utils:execute] [DEBUG]- (0.001) SELECT engine FROM information_schema.tables WHERE table_name = 'blog_user_groups'; args=[u'blog_user_groups']
2017-04-18 05:14:37,958 [MainThread:140694508766976] [django.db.backends:91] [utils:execute] [DEBUG]- (0.001) SELECT engine FROM information_schema.tables WHERE table_name = 'blog_user_groups'; args=[u'blog_user_groups']
